1080 Snowboarding;Nintendo;Apr-98
Aero Fighters Assault;Video System;Nov-97
Aerogauge;Ascii;Apr-98
Aidyn Chronicles: The First Mage;THQ;Mar-01
All-Star Baseball 2000;Acclaim;Apr-99
All-Star Baseball 2001;Acclaim;Mar-00
All-Star Baseball '99;Acclaim;May-98
All-Star Tennis 99;Ubi Soft;Sep-99
Armorines: Project SWARM;Acclaim;Nov-99
Army Men: Sarge's Heroes;3DO;Sep-99
Army Men: Air Combat;3DO;Jul-00
Army Men: Sarges Heroes 2;3DO;Sep-00
Asteroids Hyper;Crave Entertainment ;Dec-99
Automobili Lamborghini;Titus;Nov-97
Banjo-Kazooie;Nintendo ;Jun-98
Banjo Tooie;Nintendo;Nov-00
Bass Masters 2000;Take 2 Interactive;Dec-99
Batman Beyond: Return of the Joker;Kemco;Dec-00
BattleTanx;3DO;Jan-99
Battletanx 2: Global Assault;3DO;Oct-99
Battlezone: Rise of the Black Dogs;Crave Entertainment ;Mar-00
Beetle Adventure Racing;EA Sports;Mar-99
BioFreaks;Midway;May-98
Big Mountain 2000;South Peak Interactive;Oct-00
Blast Corps.;Nintendo;Mar-97
Blitz 2000;Midway;Aug-99
Blues Brothers 2000;Titus;Nov-00
Body Harvest;Midway;Oct-98
Bomberman 64;Nintendo;Dec-97
Bomberman 64: Second Attack;Vatical Entertainment;May-00
Bomberman Hero;Nintendo ;Aug-98
Brunswick Circuit Pro Bowling;THQ;Dec-99
Buck Bumble;Ubi Soft;Nov-98
Bust A Move 2;Acclaim;May-98
Bust A Move 99;Acclaim;Apr-99
California Speed ;Midway;Mar-99
Carmageddon 64;Titus;Jul-00
Castlevania;Konami;Jan-99
Castlevania: Legacy of Darkness;Konami;Dec-99
Chameleon Twist;Sunsoft ;Dec-97
Chameleon Twist 2;Sunsoft ;May-99
Charlie Blast's Territory;Kemco;Apr-99
Chef's Luv Shack;Acclaim;Dec-99
Chopper Attack;Midway;Jun-98
Clay Fighter 63 1/3;Interplay;Oct-97
Clay Fighter: Sculptor's Cut;Interplay;May-98
Command and Conquer;Nintendo;Jun-99
Conker's Bad Fur Day;Nintendo;Mar-01
Cruis'n Exotica;Nintendo;Oct-00
Cruis'n USA;Nintendo;Dec-96
Cruis'n World;Nintendo;Sep-98
Cybertiger 2000;EA Sports;Mar-00
Daikatana 64;Kemco;Nov-00
Dark Rift;Vic Tokai;Jun-97
Deadly Arts;Konami;Sep-98
Destruction Derby 64;THQ;Oct-99
Diddy Kong Racing;Nintendo;Nov-97
Disney's A Bug's Life;Activision;May-99
Disney's Toy Story 2: Space Invaders;Activision;Nov-99
Donald Duck's Quack Attack;Ubi Soft;Dec-00
Disney's: Tigger's Honey Hunt;Ubi Soft;Nov-00
Donkey Kong 64;Nintendo;Nov-99
Doom 64;Midway;Apr-97
Dr Mario;Nintendo;Apr-01
Dual Heroes;Electro Brain;Nov-98
Duke Nukem 64;GT Interactive;Nov-97
Duke Nukem: Zero Hour;GT Interactive;Aug-99
Earthworm Jim 3D;Interplay;Oct-99
ECW Hardcore Revolution;Acclaim;Feb-00
Elmo's Letter Adventure;Newkidco;Nov-99
Elmo's Number Journey;Newkidco;Nov-99
Excitebike 64;Nintendo;May-00
Extreme G;Acclaim;Oct-97
Extreme G II;Acclaim;Nov-98
