5-in-1 Super Mario All-Stars/Super Mario World;Nintendo;Dec-94
"7th Saga, The";Enix;Sep-93
A.S.P.: Air Strike Patrol;Seta;Jan-95
Aaahh!!! Real Monsters;Majesco;Nov-95
ABC's Monday Night Football;Data East;Dec-93
ACME Animation Factory;Sunsoft;Nov-94
ActRaiser;Enix;Nov-91
ActRaiser 2;Enix;Nov-93
Addams Family Values;Ocean;Feb-95
"Addams Family, The";Ocean;Mar-92
"Addams Family: Pugsley's Scavenger Hunt, The";Ocean;Feb-93
"Adventure of Kid Kleets, The";Ocean;Aug-94
"Adventures of Batman & Robin, The";Konami;Dec-94
Adventures of Dr. Franken;DTMC;Dec-93
"Adventures of Rocky & Bullwinkle and Friends, The";THQ;Jun-93
Adventures of Yogi Bear;Cybersoft;Oct-94
Aero Fighters;Video System;Nov-94
Aero the Acro-bat;Sunsoft;Oct-93
Aero the Acro-bat 2;Sunsoft;Nov-94
Aerobiz;Koei;Feb-93
Aerobiz SuperSonic;Koei;Aug-94
Air Cavalry;Cybersoft;Jun-95
Al Unser Jr.'s Road To The Top;Mindscape;Nov-94
Alfred Chicken;Mindscape;Feb-94
Alien vs. Predator;Activision;Sep-93
Alien3;LJN;May-93
American Gladiators;Gametek;Apr-93
An American Tail: Fievel Goes West;Hudson Soft;Aug-94
Andre Agassi Tennis;TecMagik;May-94
Animaniacs;Konami;Nov-94
Arcade's Greatest Hits:  Atari Collection;Midway;Aug-97
Arcana;Hal America;May-92
Ardy Lightfoot;Titus;Feb-96
Arkanoid:  Doh It Again;Nintendo;Nov-97
Art of Fighting ;Takara;Dec-93
Axelay;Konami;Sep-92
B.O.B.;Electronic Arts;Jun-93
Ballz 3-D;Accolade;Nov-94
Barbie Super Model;Hi-Tech;Dec-93
Bass Masters Classic;Malibu Games;Jun-95
Bass Masters Classic:  Pro Edition;Black Pearl Software;Jul-96
Bassin's Black Bass with Hank Parker ;Hot-B;Nov-94
Batman Forever;Acclaim;Aug-95
Batman Returns;Konami;Apr-93
Battle Blaze;American Sammy;Dec-93
Battle Cars;Namco;Dec-93
Battle Clash;Nintendo;Oct-92
Battle Grand Prix;Hudson Soft;Apr-93
Battletoads & Double Dragon: The Ultimate Team;Tradewest;Oct-93
Battletoads in Battlemaniacs;Tradewest;Jun-93
Bazooka Blitzkrieg;Bandai;Nov-92
Beavis and Butt-Head;Majesco ;Nov-94
Bebe's Kids;Mandingo;Apr-94
Beethoven's 2nd ;Hi-Tech;Dec-93
Best of the Best: Championship Karate;Electro Brain;Nov-92
Big Sky Trooper;JVC;Oct-95
Biker Mice from Mars;Konami;Dec-94
Bill Laimbeer's Combat Basketball;Hudson Soft;Nov-91
Bill Walsh College Football;EA Sports;Feb-94
BioMetal;Activision;Nov-93
Blackthorne;Interplay;Sep-94
Blastris/LazerBlazer;Nintendo;Feb-92
Blazeon: The Bio-Cyborg Challenge;Atlus Software;Oct-92
"Blues Brothers, The";Titus;Jun-93
Bonkers;Capcom;Oct-94
Boogerman: A Pick and Flick Adventure;Interplay;Dec-95
Boxing Legends of the Ring;Electro Brain;Sep-93
Brain Lord;Enix;Aug-94
"Brainies, The";Titus;Apr-96
Bram Stoker's Dracula;Sony Imagesoft;Sep-93
Brandish;Koei;Feb-95
Brawl Brothers;Jaleco;Apr-93
BreakThru!;Spectrum Holobyte;Jan-95
Breath of Fire;Square Soft;Aug-94
Breath of Fire II;Capcom;Dec-95
Brett Hull Hockey;Accolade;Jan-94
Brett Hull Hockey '95;Accolade;Jan-95
Bronkie the Bronchiasaurus;Raya Systems;Sep-95
Brunswick's World Tournament of Champions;Black Pearl Software;Aug-97
Brutal: Paws of Fury;Cybersoft;Dec-94
Bubsy II;Accolade;Oct-94
Bubsy in: Claws Encounters of the Furred Kind;Accolade;May-93
Bugs Bunny Rabbit Rampage;Sunsoft;Feb-94
Bulls vs Blazers and the NBA Playoffs;EA Sports;Dec-92
Bust-A-Move;Taito Software;Mar-95
C2: Judgment Clay ;Interplay;Jan-95
Cacoma Knight in Bizyland ;Seta;Jun-93
Cal Ripken Jr. Baseball;Mindscape;Dec-92
California Games II ;DTMC;Jan-93
Cannondale Cup;American Softworks;Nov-94
Capcom's Soccer Shootout;Capcom;Jun-94
Captain America and the Avengers;Mindscape;Sep-93
Captain Commando;Capcom;Aug-95
Captain Novolin;Raya Systems;Nov-92
Carrier Aces;Cybersoft;Jan-95
Casper;Natsume;Dec-96
Castlevania - Dracula X;Konami;Sep-95
Champions World Class Soccer;Acclaim;Apr-94
Championship Pool;Majesco;Nov-93
Championship Soccer '94;Sony Imagesoft;Jun-94
Charles Barkley! Shut Up and Jam;Accolade;Jun-94
Chavez II ;American Softworks;Nov-94
"Chessmaster, The";Mindscape;Sep-91
Chester Cheetah: Too Cool to Fool;Kaneko;Dec-92
Chester Cheetah: Wild Wild Quest ;Kaneko;Mar-94
Choplifter III ;Extreme;Jan-94
Chrono Trigger;Square Soft;Aug-95
Chuck Rock;Sony Imagesoft;Nov-92
Clay Fighter;Majesco;Nov-93
Clay Fighter: Tournament Edition;Interplay;May-94
Claymates;Interplay;Mar-94
Cliffhanger;Sony Imagesoft;Oct-93
Clue;Majesco;Jul-92
College Football USA '97: The Road to New Orleans;Black Pearl Software;Dec-96
College Slam;Acclaim;Feb-96
"Combatribes, The";American Technos;Mar-93
Congo's Caper;Data East;May-93
Contra III: The Alien Wars ;Konami;Apr-92
Cool Spot;Virgin Interactive;Sep-93
Cool World ;Ocean;Feb-93
CutThroat Island;Acclaim;Mar-96
Cybernator;Konami;Apr-93
Cyberspin;Takara;Nov-92
Daffy Duck: The Marvin Missions;Sunsoft;Oct-93
Darius Twin;Taito Software;Nov-91
David Crane's Amazing Tennis;Absolute;Oct-92
"Death and Return of Superman, The";Sunsoft;Aug-94
Demolition Man;Acclaim;Aug-95
Demon's Crest;Capcom;Nov-94
Dennis the Menace;Ocean;Dec-93
Desert Strike: Return to the Gulf ;Electronic Arts;Oct-92
D-Force;Asmik;Dec-91
Dig & Spike Volleyball;Hudson Soft;Dec-93
Dinocity;Irem;Sep-92
Dirt Trax FX;Acclaim;Nov-95
Disney's Aladdin;Majesco ;Nov-93
Disney's Beauty and the Beast;Hudson Soft;Jul-94
Disney's Goof Troop;Majesco;Jul-93
Disney's The Lion King;Majesco;Oct-94
Donkey Kong Country;Nintendo;Nov-94
Donkey Kong Country 2: Diddy's Kong Quest;Nintendo;Dec-95
Donkey Kong Country 3: Dixie Kong's Double Trouble;Nintendo;Nov-96
Doom;Midway;Sep-95
Doomsday Warrior;Renovation;Mar-93
Double Dragon V: The Shadow Falls ;Tradewest;Aug-94
Dragon View ;Kemco;Nov-94
Dragon: The Bruce Lee Story;Acclaim;Jul-95
Dragon's Lair;Data East;Feb-93
Drakkhen ;Seika;Sep-91
Dream TV;Triffix;Apr-94
"Duel: Test Drive II , The";Accolade;Dec-92
Dungeon Master ;JVC;Jun-93
E.V.O.: Search for Eden;Enix;Jul-93
EarthBound;Nintendo;Jun-95
Earthworm Jim ;Playmates;Oct-94
Earthworm Jim 2;Playmates;Nov-95
Eek! The Cat;Ocean;Aug-94
Elite Soccer;Gametek;Aug-94
Emmitt Smith Football;JVC;Nov-95
Equinox ;Sony Imagesoft;Mar-94
ESPN Baseball Tonight;Sony Imagesoft;May-94
ESPN National Hockey Night;Sony Imagesoft;Dec-94
ESPN Speedworld;Sony Imagesoft;Nov-94
ESPN Sunday Night Football;Sony Imagesoft;Nov-94
Extra Innings;Sony Imagesoft;Mar-92
Eye of the Beholder ;Capcom;Apr-94
F1 Pole Position;UBI Soft;Dec-93
F1 ROC II: Race of Champions ;Seta;Jul-94
F1 ROC: Race of Champions ;Seta;Sep-92
Faceball 2000;Bullet Proof Software;Sep-92
Family Dog;Malibu Games;Jun-93
Family Feud;Majesco;Oct-93
Fatal Fury;Takara;Apr-93
Fatal Fury 2 ;Takara;Apr-94
Fatal Fury Special;Playmates;Apr-95
FIFA International Soccer;EA Sports;May-94
FIFA Soccer '96;EA Sports;Nov-95
Fighter's History;Data East;Aug-94
Final Fantasy II ;Square Soft;Nov-91
Final Fantasy III ;Square Soft;Oct-94
Final Fantasy: Mystic Quest ;Square Soft;Oct-92
Final Fight;Capcom;Sep-91
Final Fight 2 ;Capcom;Aug-93
Final Fight 3;Capcom;Jan-96
Final Fight Guy;Capcom;Jun-94
Firepower 2000;Sunsoft;Nov-92
Firestriker;DTMC;Oct-94
First Samurai ;Kemco;Jul-93
Flashback: The Quest for Identity ;US Gold;Feb-94
"Flintstones: The Movie, The";Ocean;Feb-95
"Flintstones: The Treasure of Sierra Madrock, The";Taito Software;Mar-94
Football Fury;American Sammy;Oct-93
Foreman For Real;Acclaim;Sep-95
Frank Thomas' Big Hurt Baseball;Acclaim;Nov-95
Frantic Flea;Gametek;Apr-96
Full Throttle Racing;Cybersoft;Jan-95
Fun 'N' Games;Tradewest;Aug-94
F-Zero;Nintendo;Aug-91
Gemfire;Koei;Dec-92
Genghis Khan II: Clan of the Grey Wolf ;Koei;Dec-93
George Foreman's KO Boxing;Acclaim;Sep-92
Ghoul Patrol;JVC;Nov-94
Goal!;Jaleco;Dec-92
Gods;Mindscape;Dec-92
GP-1;Atlus Software;Sep-93
GP-1: Part II;Atlus Software;Dec-94
Gradius III ;Konami;Aug-91
"Great Circus Mystery: Starring Mickey and Minnie, The";Capcom;Oct-94
"Great Waldo Search, The";THQ;Jun-93
GunForce;Irem;Nov-92
Hagane;Hudson Soft;Jun-95
HammerLock Wrestling ;Jaleco;Oct-94
Hardball III ;Accolade;Jun-94
Harley's Humongous Adventure;Hi-Tech;Feb-93
Harvest Moon;Natsume;Jun-97
Head-On Soccer;US Gold;Sep-95
Hit the Ice;Taito Software;Feb-93
Hole in One Golf;Hal America;Sep-91
Home Alone ;THQ;Dec-91
Home Alone 2: Lost in New York;THQ;Oct-92
Home Improvement;Absolute;Nov-94
Hook;Sony Imagesoft;Oct-92
"Hunt for Red October, The";Hi-Tech;Jan-93
Hurricanes;US Gold;Dec-94
Hyper V-Ball;Video System ;Jun-94
HyperZone;Hal America;Sep-91
"Ignition Factor, The";Jaleco;Jan-95
Illusion of Gaia;Nintendo;Sep-94
Imperium;Vic Tokai;Nov-92
Incantation;Titus;Dec-96
"Incredible Crash Dummies, The";LJN;Oct-93
"Incredible Hulk, The";US Gold;Aug-94
Indiana Jones' Greatest Adventures;JVC;Oct-94
Inindo: Way of the Ninja;Koei;Mar-93
Inspector Gadget;Hudson Soft;Dec-93
International Superstar Soccer;Konami;Jun-95
International Superstar Soccer Deluxe;Konami;Nov-95
International Tennis Tour;Taito Software;Nov-93
Irem Skins Game;Irem;Oct-92
"Itchy & Scratchy Game, The";Acclaim;Mar-95
Izzy's Quest for the Olympic Rings;US Gold;Nov-95
Jack Nicklaus Golf;Tradewest;May-92
James Bond Jr.;THQ;Oct-92
Jammit!;GTE;Nov-94
Jeopardy! Deluxe Edition;Majesco;Jun-94
Jeopardy! Featuring Alex Trebek;Gametek;Dec-92
Jeopardy! Sports Edition;Gametek;May-94
"Jetsons: The Invasion of the Planet Pirates, The";Taito Software;Jun-94
Jim Power: The Lost Dimension in 3-D;Electro Brain;Dec-93
Jimmy Connors Pro Tennis Tour;UBI Soft;Dec-92
Jimmy Houston's Bass Tournament USA;American Sammy;Nov-95
Joe & Mac 2: Lost in the Tropics;Data East;Apr-94
Joe & Mac: Caveman Ninjas;Data East;Jan-92
John Madden Football '93;EA Sports;Nov-92
John Madden's Football;EA Sports;Nov-91
Judge Dredd;Acclaim;Jun-95
"Jungle Book, The";Majesco;Aug-94
Jungle Strike;Electronic Arts;Jun-95
Jurassic Park;Majesco;Nov-93
Jurassic Park 2: The Chaos Continues;Ocean;Nov-94
Justice League Task Force;Acclaim;Jun-95
Kablooey;Kemco;Aug-92
Kawasaki Caribbean Challenge;Gametek;Jun-93
Kawasaki Superbike Challenge;Time Warner;Dec-95
Ken Griffey Jr. Presents: Major League Baseball;Nintendo;Mar-94
